from;to;distance
2358;2368;376.96
2358;2369;662.20
1940;2217;479.27
1940;2228;467.25
1940;1777;277.72
1940;1781;181.73
1940;1807;179.80
1940;2244;225.42
1940;1836;165.99
1940;1791;155.26
1940;2263;163.81
1940;2204;253.58
1940;2267;407.55
1940;1808;167.50
1940;1816;111.97
1940;1818;228.75
1940;1820;133.82
1940;1826;509.84
1940;2274;437.54
1940;1834;449.43
1940;2599;302.40
1940;2301;115.39
1940;2310;135.53
1940;2311;199.70
1940;3052;90.22
1940;2316;387.67
1940;1881;231.78
1940;1904;319.53
1940;2329;299.20
1940;3513;389.91
1940;1887;169.11
1940;1889;272.88
